disease_id,food_id,disease,food_name,ingredient,recipe
1,1,Acne,Steamed Sweet Potatoes,"Sweet potatoes  
Water","1. Peel the sweet potatoes  
2. Cut the potatoes into chucks
3. Place the sweet potatoes in a steam tray
4. Boil the water. Put the pot + steam tray on the stove over high heat. Cover the pot
5. cooking times will vary from about 15-20 minutes."
1,2,Acne,Clear Spinach Soup,"Spinach
Water
salt
Onion ","1. Boil the water and the onion in a medium pot
2. While waiting, chop the spinach stem into desired size
3. When the water boil, put the corn kernel into the pot and let the water boils again 
4. When the water boils again, put the spinach stem into the pot and let it boils
5. Finally, add the spinach leaves into the pot, pour the salt and heat the pot for another few minutes or until the texture of all  ingredients meet your desire."
1,3,Acne,Vegetable or fruit salad,"honey
freshly squeezed orange juice Zest of  1 lemon
Fruit or vegetable","1. In a small bowl whisk together honey, orange juice, and lemon zest. 
2. Add fruit to a large bowl and pour over dressing, tossing gently to combine. Chill until ready to serve."
2,4,Asthma,Veggie Sandwiches,"Bread
Hummus
Avocado, mashed
Salad greens
Red bell pepper, sliced
Sliced cucumber
Shredded carrot","1. Spread one slice of bread with avocado. 
2. Fill the sandwich with greens, bell pepper, cucumber and carrot. 
3. Slice in half and serve."
2,5,Asthma,Tuna Stir Fry,"Cooking spray
Onion
Garlic 
frozen stir-fry vegetables
Tuna
Soy sauce 
Juice of 1 medium lemon
Honey","
1. Lightly spray a large skillet with cooking spray. Cook the onion, garlic, and stir-fry vegetables over medium-high heat for 5 minutes, or until the vegetables are tender-crisp.
2. Stir in the tuna, soy sauce, lemon juice, and honey. Cook for 2 to 3 minutes, or until the tuna is heated through.
"
2,6,Asthma,Sauteed Carrots,"Carrots
Salt
Black pepper
Unsalted butter
Flat-leaf parsley","1. Peel the carrots and cut them diagonally in 1/4-inch slices. You should have about 6 cups of carrots. 
2. Place the carrots, 1/3 cup water, the salt, and pepper in a large (10- to 12-inch) saute pan and bring to a boil. Cover the pan and cook over medium-low heat for 7 to 8 minutes, until the carrots are just cooked through. 
3. Add the butter and saute for another minute, until the water evaporates.
4. Off the heat, toss with the dill or parsley. Sprinkle with salt and pepper and serve."
3,7,GERD,Roasted Brussel Sprouts with Bacon and Apple,"Brussels sprouts, washed, trimmed and halved
Granny Smith apple, cored and diced
Thick-cut bacon, cooked and crumbled
Olive oil
Maple syrup
Balsamic vinegar
Salt and pepper","1. Preheat oven to 425 degrees.
2. In a large bowl, combine the Brussels sprouts, apple and bacon. Set aside.
3. In a separate small bowl, whisk together the olive oil, maple syrup, and balsamic vinegar.
4 Pour the olive oil mixture into the Brussels sprouts mixture and toss to coat.
5. Transfer the Brussels sprouts onto a large baking sheet. Season liberally with salt and pepper.
6. Roast in oven for 15-20 minutes, turning once halfway through, or until sprouts are tender and brown."
3,8,GERD,Quinoa Crusted Salmon,"Salmon
Quinoa 
Breadcrumbs 
","1. Separate ingredients into bowls. Combine the quinoa, breadcrumbs, salt, garlic, and parsley. At this time, you should also pat the salmon dry.
2. Coat the salmon
3. Fry the salmon. "
3,9,GERD,Chicken meatball soup with spinach,"Chicken
Oats
Red onion
Kosher salt and black pepper
Olive oil
Red-pepper
Spinach
Lemons","1. In a medium bowl, add the chicken, feta, ¼ cup oats, the grated onion, most of the dill (reserve about 2 tablespoons for garnish), the cumin, ½ teaspoon turmeric and 1 teaspoon salt. 
2. Heat the oil in a large Dutch oven or wide pot over medium until shimmering. Add the diced onion, season with salt, and cook until it begins to soften, about 2 minutes, stirring occasionally.
3. Pour in the broth and remaining ½ cup oats, then gently tilt the pot to the right and left to distribute the oats and broth without disturbing the meatballs. 
4. Stir in the spinach and lemon juice until the spinach is wilted, about 2 minutes more. Adjust the seasoning to taste. 
5. Serve with lemon wedges. "
4,10,Hypertension,Baked salmon,"Salmon
Olive oil
Lemon","1.  Preheat the oven to 400 degrees and grease a large baking pan. 
2.  Arrange the salmon fillets on the baking sheet and season generously with salt and pepper.
3.  Stir together the olive oil, garlic, herbs, and juice of 1/2 of the lemon.
4. Bake the salmon in the oven for 12-15 minutes or until the salmon is opaque and flaky when pulled apart with a fork. 
5. Garnish with fresh thyme or parsley if desired and serve."
4,11,Hypertension,Chruncy Brokoli Salad,"Broccoli
Carrot
Red onion
Apple cider vinegar
Sunflower seeds
Cranberries
Salt and Black pepper","1. Wash and chop the broccoli, carrot, and red onion. Separate the broccoli florets from the stems. Chop the heads into small, bite-sized pieces, then peel the stems and finely dice them.
2. Add the vegan mayo and apple cider vinegar to the base of a large bowl, then mix well. Toss in the broccoli, carrots, and red onion, then mix until all pieces are evenly coated in the dressing. Fold in the sunflower seeds and dried cranberries, then add any additional salt and black pepper to taste.
3. Let sit for at least 10 minutes before serving to allow the flavors to combine. Refrigerate any leftovers in an airtight container for up to 5 days."
4,12,Hypertension,Parmesan yogurt,"Fat-free plain yogurt
Parmesan cheese
Reduced-fat sour cream
Fresh parsley
Green onion
Mustard
Onion powder
Salt
Pepper
Assorted vegetables","In a bowl, combine the yogurt, Parmesan cheese, sour cream, parsley, 
green onion, mustard, onion powder, salt and pepper. Cover and refrigerate
for at least 2 hours. Serve with assorted vegetables."
5,13,Migraine,Broccoli and Spinach Soup,"1 package of frozen broccoli and spinach blend
1 tablespoon olive oil
1 onion, chopped
2 cloves of garlic, minced
4 cups vegetable broth
Salt and pepper to taste
Optional toppings: grated cheese, croutons, or yogurt","1. In a large pot, heat the olive oil over medium heat. Add the chopped onion and minced garlic, and sauté until they become translucent.
2. Add the frozen broccoli and spinach blend to the pot. Stir and cook for a few minutes until they are thawed.
3. Pour in the vegetable broth and bring the mixture to a boil. Reduce the heat and let it simmer for about 15-20 minutes until the vegetables are tender.
4. Use an immersion blender or transfer the soup to a blender in batches, and blend until smooth.
5. Season with salt and pepper to taste.
6. Serve the soup hot, and garnish with grated cheese, croutons, or a dollop of yogurt if desired."
5,14,Migraine,Fresh Fruit Smoothie,"Assorted fresh fruits (such as berries, mango, banana, and pineapple)
Greek yogurt or almond milk
Honey or maple syrup (optional for sweetness)
Ice cubes","1. Blend the fresh fruits, Greek yogurt or almond milk, honey or maple syrup (if desired), and ice cubes until smooth and creamy.
2. Adjust the sweetness or consistency according to your preference.
3. Pour into a glass and enjoy a refreshing and nutritious fruit smoothie"
5,15,Migraine,Quinoa Salad,"2 cups cooked quinoa
Assorted vegetables (e.g., cherry tomatoes, cucumbers, bell peppers, red onion), diced
Fresh herbs (e.g., parsley, cilantro, mint), chopped
Feta cheese, crumbled (optional)
Dressing of your choice (e.g., lemon vinaigrette, balsamic vinaigrette)","1. In a large bowl, combine the cooked quinoa, diced vegetables, and chopped herbs.
2. Add crumbled feta cheese if desired.
3. Drizzle your preferred dressing over the salad and toss gently to coat all the ingredients.
4. Season with salt and pepper to taste.
5. Let the quinoa salad chill in the refrigerator for at least 30 minutes to allow the flavors to meld.
Serve the quinoa salad as a refreshing and nutritious side dish or a light meal."